term_display_name,description,steward,tagged_assets,synonyms,related_terms,belongs_to_category
AOV (Average Order Value),Mean gross monetary expenditure per completed customer order.,LumièreShop Data Governance <governance@lumiereshop.internal>,"daily_category_targets:target_aov, orders:total_amount","average order value, basket size, average checkout amount","Commercial Target Revenue Variance, Black Week Peak Commercial Period, Gross Margin Percentage (GM %), DSO (Days Sales Outstanding), Effective VAT Tax Collection Rate",Commercial Targets & Financial Performance
Accounts Payable (AP) Days Outstanding (DPO),Average number of days taken to settle vendor and supplier invoices from invoice receipt date.,LumièreShop Data Governance <governance@lumiereshop.internal>,"accounts_payable_disbursements:disbursement_amount_eur, accounts_payable_invoices:invoice_amount_eur","DPO, days payable outstanding, AP invoice aging, vendor payment latency","AOV (Average Order Value), Commercial Target Revenue Variance, Black Week Peak Commercial Period, Gross Margin Percentage (GM %), DSO (Days Sales Outstanding)",Commercial Targets & Financial Performance
Bank Statement Reconciliation Discrepancy,Unreconciled financial variance between bank statement settlement cash flows and internal general ledger cash accounts.,LumièreShop Data Governance <governance@lumiereshop.internal>,"accounts_receivable_invoices:invoice_amount_eur, bank_account_reconciliation:discrepancy_amount_eur, currency_exchange_rates_daily:exchange_rate_to_eur, customs_and_duties_declarations:duty_amount_eur","bank variance, cash book reconciliation, unsettled bank items","AOV (Average Order Value), Commercial Target Revenue Variance, Black Week Peak Commercial Period, Gross Margin Percentage (GM %), DSO (Days Sales Outstanding)",Commercial Targets & Financial Performance
Black Week Peak Commercial Period,"The annual Q4 retail peak promotional sales period from Monday November 23, 2026 00:00:00 to Sunday November 29, 2026 23:59:59 UTC, encompassing Black Friday and Cyber Monday. Evaluated against executive weekly_commercial_targets and daily_category_targets with an executive sales benchmark of €6,650,000 across categories.",LumièreShop Data Governance <governance@lumiereshop.internal>,"daily_category_targets:date, orders:created_at, weekly_commercial_targets:week_start_date","Black Week, Black Friday, Cyber Week, Peak Promo Event, Black Week 2026, Q4 Peak Promotional Period, Black Friday Cyber Monday, BFCM","AOV (Average Order Value), Commercial Target Revenue Variance, Gross Margin Percentage (GM %), DSO (Days Sales Outstanding), Effective VAT Tax Collection Rate",Commercial Targets & Financial Performance
Commercial Intake Sales Velocity,Real-time intake revenue rate partitioned by 15-minute intervals and category hierarchy paths against baseline pacing.,LumièreShop Data Governance <governance@lumiereshop.internal>,"categories:category_name, category_15min_targets:target_sales_eur, category_hierarchy_paths:hierarchy_path, distribution_centers:name, sales_event_stream:event_amount_eur","sales velocity, 15min run rate, category sales intake, intake pacing","AOV (Average Order Value), Commercial Target Revenue Variance, Black Week Peak Commercial Period, Gross Margin Percentage (GM %), DSO (Days Sales Outstanding)",Commercial Targets & Financial Performance
Commercial Target Revenue Variance,The net monetary gap between realized actual gross sales and planned financial targets.,LumièreShop Data Governance <governance@lumiereshop.internal>,"daily_category_targets:target_revenue, weekly_commercial_targets:target_revenue","revenue gap, target deficit, sales variance, revenue shortfall","AOV (Average Order Value), Black Week Peak Commercial Period, Gross Margin Percentage (GM %), DSO (Days Sales Outstanding), Effective VAT Tax Collection Rate",Commercial Targets & Financial Performance
DSO (Days Sales Outstanding),Corporate financial liquidity metric measuring the average number of calendar days required to collect invoice receivables from corporate clients.,LumièreShop Data Governance <governance@lumiereshop.internal>,"accounts_receivable_invoices:billed_amount_eur, accounts_receivable_invoices:due_date","DSO, receivable collection days, AR collection period, days sales outstanding","AOV (Average Order Value), Commercial Target Revenue Variance, Black Week Peak Commercial Period, Gross Margin Percentage (GM %), Effective VAT Tax Collection Rate",Commercial Targets & Financial Performance
Effective VAT Tax Collection Rate,The realized value-added tax percentage collected across European destination jurisdictions.,LumièreShop Data Governance <governance@lumiereshop.internal>,"vat_period_filing_reports:vat_collected_eur, vat_tax_jurisdictions:standard_vat_rate_pct","VAT rate, sales tax rate, effective tax rate, destination VAT","AOV (Average Order Value), Commercial Target Revenue Variance, Black Week Peak Commercial Period, Gross Margin Percentage (GM %), DSO (Days Sales Outstanding)",Commercial Targets & Financial Performance
General Ledger (GL) Debit-Credit Balance,Double-entry bookkeeping validation ensuring total debits equal total credits across all posted journal lines.,LumièreShop Data Governance <governance@lumiereshop.internal>,"chart_of_accounts:account_number, general_ledger_journal_entries:journal_id, gl_journal_lines:debit_amount_eur","trial balance check, debit credit equality, GL reconciliation, journal line balance","AOV (Average Order Value), Commercial Target Revenue Variance, Black Week Peak Commercial Period, Gross Margin Percentage (GM %), DSO (Days Sales Outstanding)",Commercial Targets & Financial Performance
Gross Margin Percentage (GM %),The proportion of total e-commerce revenue retained after subtracting product acquisition and manufacturing costs of goods sold (COGS).,LumièreShop Data Governance <governance@lumiereshop.internal>,"order_items:sale_price, products:cost, products:retail_price","gross profit margin, product margin, COGS margin, gross margin","AOV (Average Order Value), Commercial Target Revenue Variance, Black Week Peak Commercial Period, DSO (Days Sales Outstanding), Effective VAT Tax Collection Rate",Commercial Targets & Financial Performance
CLV (Customer Lifetime Value),The predicted total gross merchandise value generated by an individual customer account over their lifetime.,LumièreShop Data Governance <governance@lumiereshop.internal>,"loyalty_members:user_id, orders:total_amount","CLV, LTV, customer lifetime value, lifetime customer GMV","Loyalty Points Breakage Rate (%), Loyalty Reward Points Redemption Rate, Loyalty Points Burn-to-Earn Ratio, Gift Card Unredeemed Breakage Value, Customer Referral Program Acquisition Yield","Customer Loyalty, Rewards & Retention"
Customer Referral Program Acquisition Yield,Number of qualified newly registered customers acquired per referral invitation link shared by existing brand advocates.,LumièreShop Data Governance <governance@lumiereshop.internal>,"referral_program_invites:invite_id, referral_reward_claims:reward_amount_eur","referral conversion rate, viral coefficient, referral reward claim rate","Loyalty Points Breakage Rate (%), Loyalty Reward Points Redemption Rate, CLV (Customer Lifetime Value), Loyalty Points Burn-to-Earn Ratio, Gift Card Unredeemed Breakage Value","Customer Loyalty, Rewards & Retention"
Gift Card Unredeemed Breakage Value,Total monetary value of issued gift cards and store credit balances that remain unredeemed past expiration thresholds.,LumièreShop Data Governance <governance@lumiereshop.internal>,"gift_card_master:current_balance_eur, gift_card_transactions:transaction_amount_eur, store_credit_issuances:credit_amount_eur","unredeemed gift cards, breakage revenue, store credit float","Loyalty Points Breakage Rate (%), Loyalty Reward Points Redemption Rate, CLV (Customer Lifetime Value), Loyalty Points Burn-to-Earn Ratio, Customer Referral Program Acquisition Yield","Customer Loyalty, Rewards & Retention"
Loyalty Points Breakage Rate (%),The percentage of customer loyalty points issued that will expire unredeemed based on historical expiration patterns.,LumièreShop Data Governance <governance@lumiereshop.internal>,"loyalty_members:total_points_balance, loyalty_points_ledger:points_delta","points breakage, unredeemed loyalty points, points expiration rate, breakage percentage","Loyalty Reward Points Redemption Rate, CLV (Customer Lifetime Value), Loyalty Points Burn-to-Earn Ratio, Gift Card Unredeemed Breakage Value, Customer Referral Program Acquisition Yield","Customer Loyalty, Rewards & Retention"
