category_display_name,description,steward,belongs_to_category
Commercial Targets & Financial Performance,"Gross revenue, financial pacing, commercial target variance, and margin calculations.",LumièreShop Data Governance <governance@lumiereshop.internal>,
"Customer Loyalty, Rewards & Retention","Loyalty tier memberships, points ledger, rewards redemption, and gift card balances.",LumièreShop Data Governance <governance@lumiereshop.internal>,
"Customer Support, CRM & CSAT","Helpdesk ticketing, first contact resolution, customer satisfaction (CSAT), and NPS.",LumièreShop Data Governance <governance@lumiereshop.internal>,
"Data Governance, Quality & Interaction Auditing","Agent interaction logs, query execution telemetry, data profiling scans, and table access auditing.",LumièreShop Data Governance <governance@lumiereshop.internal>,
Digital Experience & Payments,"Payment service providers (PSP), gateway error codes, and consent management tracking.",LumièreShop Data Governance <governance@lumiereshop.internal>,
"Finance, Tax & General Ledger","Corporate general ledger, chart of accounts, VAT tax filings, and accounts receivable.",LumièreShop Data Governance <governance@lumiereshop.internal>,
Fulfillment & Regional Logistics,"Carrier performance, lead-time SLAs, regional delivery promises, and cart abandonment.",LumièreShop Data Governance <governance@lumiereshop.internal>,
Inbound Supply Chain & Vendor Procurement,"Supplier purchase orders, inbound dock appointments, vendor OTIF, and defect rates.",LumièreShop Data Governance <governance@lumiereshop.internal>,
"Lifecycle Marketing, Email & Campaigns","Email deliverability, template conversions, bounce tracking, affiliate publisher commissions, and coupon promotions.",LumièreShop Data Governance <governance@lumiereshop.internal>,
Paid Acquisition & Marketing,"Paid social, search, influencer marketing, ad algorithms, and conversion metrics.",LumièreShop Data Governance <governance@lumiereshop.internal>,
Pricing & Merchandising,"Competitor price scrapes, promotional discounts, and catalog recommendation systems.",LumièreShop Data Governance <governance@lumiereshop.internal>,
Product Information Management & Catalog Master,"Product master taxonomy, localized translations, size charts, and attribute completeness.",LumièreShop Data Governance <governance@lumiereshop.internal>,
Raw Ingestion & Third-Party Partner Feeds,"Staging pipelines and raw API feeds from Shopify, Meta, Google Ads, Stripe, Adyen, Zendesk, SAP ERP, and GA4.",LumièreShop Data Governance <governance@lumiereshop.internal>,
Retail Physical Stores & Omni-Channel POS,"Physical store registers, in-person transactions, click & collect (BOPIS), and store inventory.",LumièreShop Data Governance <governance@lumiereshop.internal>,
"Returns, Refunds & RMA Management","Product return authorizations, inspection triage, refund processing, and return rates.",LumièreShop Data Governance <governance@lumiereshop.internal>,
Supply Chain & Warehousing,"Inventory levels, stockouts, warehouse physical hubs, and batch replenishments.",LumièreShop Data Governance <governance@lumiereshop.internal>,
Temporal Simulation & Calendar Context,"Semantic temporal anchor definitions, relative calendar mappings ('this week', 'today', 'yesterday', 'previous week', 'MTD'), and date bounds for LumièreShop retail and promotional calendar periods.",LumièreShop Data Governance <governance@lumiereshop.internal>,
